"","Basin_name","DCIp","Type"
"1","Aghanashini",100,"SHPs"
"2","Aghanashini",100,"LargeDams"
"3","Badagani",100,"SHPs"
"4","Badagani",100,"LargeDams"
"5","Bhima",50.7919186985585,"SHPs"
"6","Bhima",59.4092730542486,"LargeDams"
"7","Byndoor",100,"SHPs"
"8","Byndoor",100,"LargeDams"
"9","Chakra",69.0668311398784,"LargeDams"
"10","ChandragiriPuzha",100,"SHPs"
"11","ChandragiriPuzha",100,"LargeDams"
"12","Gangavali",86.4127352235863,"LargeDams"
"13","Gundabala",100,"SHPs"
"14","Gundabala",100,"LargeDams"
"15","Gurupura",51.6647341175815,"SHPs"
"16","Haladi",44.9066221768864,"SHPs"
"17","Hattikeri",100,"SHPs"
"18","Hattikeri",100,"LargeDams"
"19","Kali",19.2490086015387,"LargeDams"
"20","Kaveri",8.907017781348,"SHPs"
"21","Kaveri",54.2691454848849,"LargeDams"
"22","Kolluru",100,"SHPs"
"23","Kolluru",100,"LargeDams"
"24","Krishna",65.9818756174417,"SHPs"
"25","Krishna",39.4317365565884,"LargeDams"
"26","Nandini",100,"SHPs"
"27","Nandini",100,"LargeDams"
"28","Nethravathi",25.5427455187928,"SHPs"
"29","NorthPennar",100,"SHPs"
"30","NorthPennar",100,"LargeDams"
"31","Paapanashini",100,"SHPs"
"32","Paapanashini",100,"LargeDams"
"33","Palar",100,"SHPs"
"34","Palar",100,"LargeDams"
"35","Pangala",100,"SHPs"
"36","Pangala",100,"LargeDams"
"37","Sankadagundi",100,"SHPs"
"38","Sankadagundi",100,"LargeDams"
"39","Shambhavi",100,"SHPs"
"40","Shambhavi",100,"LargeDams"
"41","Sharavathi",65.2996079408947,"SHPs"
"42","Sharavathi",62.6057065015143,"LargeDams"
"43","Shiroor",100,"SHPs"
"44","Shiroor",100,"LargeDams"
"45","Shriya",100,"SHPs"
"46","Shriya",100,"LargeDams"
"47","Sita",100,"SHPs"
"48","Sita",100,"LargeDams"
"49","SouthPennar",100,"SHPs"
"50","SouthPennar",100,"LargeDams"
"51","Suvarna",34.7433039660127,"SHPs"
"52","Tunga",34.4453279825615,"SHPs"
"53","Tunga",44.8492190560691,"LargeDams"
"54","Uppala",100,"SHPs"
"55","Uppala",100,"LargeDams"
"56","Venkatapura",100,"SHPs"
"57","Venkatapura",100,"LargeDams"
"58","Yadamavu",100,"SHPs"
"59","Yadamavu",100,"LargeDams"
